id,date_time,mc_code,buiding,auto_run,power_on,power_off,meeting,break_field,plan_stop,kpr_percent,yield_field,target_oee,one_day_time_on,available_time,percent_available,percent_performance,percent_oee,factory_utilize,percent_teep,process_group,is_check
37903301,2025-12-09 00:00:00.037000,X-57-43,B,993,403,44,0,0,0,100.0,100.0,85.0,1440,1396,68.958336,100.0,68.958336,100.0,68.958336,ZMOTU6,True
37903478,2025-12-09 00:00:00,X-57-43,B,1029,364,47,0,0,0,100.0,100.0,85.0,1440,1393,71.458336,100.0,71.458336,100.0,71.458336,ZMOT,False
37903303,2025-12-09 00:00:00.038000,X-57-44,B,1176,258,7,0,0,0,100.0,100.0,85.0,1440,1433,81.666664,100.0,81.666664,100.0,81.666664,ZMOTU6,True
37903479,2025-12-09 00:00:00,X-57-44,B,1179,257,4,0,0,0,100.0,100.0,85.0,1440,1436,81.875,100.0,81.875,100.0,81.875,ZMOT,False
37903044,2025-12-09 00:00:00,X-57-49,A/2,377,1059,4,0,0,0,100.0,100.0,85.0,1440,1436,26.180555,100.0,26.180555,100.0,26.180555,ZMOT,False
37903262,2025-12-09 00:00:00,X-57-51,A/2,736,699,5,0,0,0,100.0,100.0,85.0,1440,1435,51.11111,100.0,51.11111,100.0,51.11111,ZMOT,False
37903263,2025-12-09 00:00:00,X-57-52,A/2,386,1049,5,0,0,0,100.0,100.0,85.0,1440,1435,26.805555,100.0,26.805555,100.0,26.805555,ZMOT,False
37903046,2025-12-09 00:00:00,X-57-55,A/2,732,704,4,0,0,0,100.0,100.0,85.0,1440,1436,50.833332,100.0,50.833332,100.0,50.833332,ZMOT,False
37903048,2025-12-09 00:00:00,X-57-56,A/2,655,781,4,0,0,0,100.0,100.0,85.0,1440,1436,45.48611,100.0,45.48611,100.0,45.48611,ZMOT,False
37904381,2025-12-09 00:00:00,X-57-72,A/2,913,517,10,0,0,0,100.0,100.0,85.0,1440,1430,63.40278,100.0,63.40278,100.0,63.40278,ZMOT,False
37904382,2025-12-09 00:00:00,X-57-73,A/2,810,620,10,0,0,0,100.0,100.0,85.0,1440,1430,56.25,100.0,56.25,100.0,56.25,ZMOT,False
37903266,2025-12-09 00:00:00,X-57-74,B,787,648,5,0,0,0,100.0,100.0,85.0,1440,1435,54.65278,100.0,54.65278,100.0,54.65278,ZMOT,False
37903267,2025-12-09 00:00:00,X-57-75,B,627,808,5,0,0,0,100.0,100.0,85.0,1440,1435,43.541668,100.0,43.541668,100.0,43.541668,ZMOT,False
37903050,2025-12-09 00:00:00,X-57-84,A/2,577,860,3,0,0,0,100.0,100.0,85.0,1440,1437,40.069443,100.0,40.069443,100.0,40.069443,ZMOT,False
37903052,2025-12-09 00:00:00,X-57-85,B,0,1436,4,0,0,0,100.0,100.0,85.0,1440,1436,0.0,100.0,0.0,100.0,0.0,ZMOT,False
37902824,2025-12-09 00:00:01.659000,X-57-86,A/2,779,435,226,0,0,0,100.0,100.0,85.0,1440,1214,54.09722,100.0,54.09722,100.0,54.09722,ZMOTD13,True
37902825,2025-12-09 00:00:01.659000,X-57-87,A/2,609,358,473,0,0,0,100.0,100.0,85.0,1440,967,42.291668,100.0,42.291668,100.0,42.291668,ZMOTD13,True
